CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
KE,EAfr,-18.2,12.6,15.9,-36.1,11.1,39.5,-2.1
KE,EAfr,-21.7,5.6,19.7,-46.9,10.7,37,0
KE,EAfr,-19.4,11.7,18.5,-34.5,10.9,37,0
KE,EAfr,-18.1,12.3,20.2,-22.1,8.3,37,1
TZ,EAfr,-22.3,8.4,9.6,-50.8,4.4,35.22,-7.3
KE,EAfr,-18.2,11.5,16,-37.1,11.3,36.7,0.35
TZ,EAfr,-23,8.6,13.1,-45.6,5,35.22,-7.2
KE,EAfr,-18.2,9.1,15.2,-38.9,12.3,36.77,0.36
KE,EAfr,-17.5,12.1,17.7,-29.2,4.8,37.35,0.71
KE,EAfr,-19.6,14.7,18.3,-31,7.8,39.5,0.9
KE,EAfr,-17.9,14.7,15.9,-26.8,9.4,37.35,0.71
SD,EAfr,-19.5,6.4,16.7,-41.9,8.3,35.57,14.7
TZ,EAfr,-25,10.8,15.5,-52.5,3.7,35.4,-7.2
TZ,EAfr,-21.5,6.9,16.5,-53.5,3.1,35.33,-7.2
TZ,EAfr,-24.4,12.3,15.1,-50.9,5.6,35.33,-7.2
TZ,EAfr,-19.7,8.3,14.9,-49.5,3.4,35.33,-7.2
TZ,EAfr,-20,8.4,14.8,-50.8,6.2,35.33,-7.2
TZ,EAfr,-22.1,9.5,16.5,-56.7,5.4,35.33,-7.2
TZ,EAfr,-24.4,10.2,16.4,-63.1,4.2,35.33,-7.2
TZ,EAfr,-20.8,6.4,15.5,-55.7,13.9,35.33,-7.3
UG,EAfr,-19.7,6.9,16.3,-46,9.7,32.22,2.14
UG,EAfr,-18.4,10.7,18.5,-28,12.9,32.22,2.11
SS,EAfr,-21.5,7.6,19.2,-24.9,8.9,33.04,7.44
SS,EAfr,-21.3,7.3,18.4,-28.5,10.2,33.04,7.44
MZ,SAfr,-19.9,8.8,20.4,-24,17.3,32.12,-22.97
AO,SAfr,-22.1,8,17.3,-40.5,12.6,20,-17
ZM,SAfr,-18,9,14.8,-56.4,10,32.02,-12.12
AO,SAfr,-21,7.8,17.5,-44.3,13.8,20,-17
MW,SAfr,-17.2,7,18,-55.8,9.4,33.14,-12.73
AO,SAfr,-20.8,8.9,16.8,-52.1,11.7,20,-17
